image_name,tag
train_0,10
train_1,0
train_2,5
train_3,5
train_4,0
train_5,10
train_6,0
train_7,10
train_8,0
train_9,0
train_10,0
train_11,5
train_12,6
train_13,5
train_14,6
train_15,5
train_16,5
train_17,11
train_18,5
train_19,0
train_20,0
train_21,5
train_22,11
train_23,0
train_24,7
train_25,5
train_26,6
train_27,0
train_28,5
train_29,11
train_30,5
train_31,5
train_32,0
train_33,0
train_34,5
train_35,5
train_36,0
train_37,11
train_38,5
train_39,5
train_40,0
train_41,0
train_42,5
train_43,2
train_44,5
train_45,5
train_46,2
train_47,5
train_48,5
train_49,5
train_50,6
train_51,5
train_52,0
train_53,5
train_54,5
train_55,11
train_56,5
train_57,1
train_58,0
train_59,0
train_60,10
train_61,5
train_62,5
train_63,0
train_64,0
train_65,5
train_66,0
train_67,5
train_68,6
train_69,5
train_70,3
train_71,5
train_72,6
train_73,5
train_74,0
train_75,0
train_76,11
train_77,6
train_78,5
train_79,5
train_80,0
train_81,5
train_82,3
train_83,5
train_84,0
train_85,5
train_86,5
train_87,6
train_88,11
train_89,5
train_90,0
train_91,11
train_92,0
train_93,5
train_94,0
train_95,5
train_96,5
train_97,6
train_98,5
train_99,11
train_100,2
train_101,6
train_102,5
train_103,0
train_104,10
train_105,5
train_106,5
train_107,11
train_108,6
train_109,5
train_110,5
train_111,6
train_112,0
train_113,0
train_114,5
train_115,5
train_116,0
train_117,5
train_118,6
train_119,0
train_120,5
train_121,11
train_122,0
train_123,0
train_124,2
train_125,0
train_126,0
train_127,5
train_128,5
train_129,0
train_130,11
train_131,0
train_132,10
train_133,10
train_134,5
train_135,5
train_136,10
train_137,5
train_138,6
train_139,5
train_140,5
train_141,11
train_142,0
train_143,11
train_144,0
train_145,11
train_146,5
train_147,5
train_148,0
train_149,5
train_150,0
train_151,0
train_152,10
train_153,5
train_154,5
train_155,5
train_156,5
train_157,0
train_158,0
train_159,0
train_160,11
train_161,11
train_162,0
train_163,5
train_164,5
train_165,5
train_166,5
train_167,0
train_168,6
train_169,0
train_170,5
train_171,0
train_172,0
train_173,5
train_174,6
train_175,5
train_176,5
train_177,0
train_178,5
train_179,6
train_180,10
train_181,5
train_182,11
train_183,5
train_184,11
train_185,0
train_186,5
train_187,1
train_188,5
train_189,5
train_190,5
train_191,11
train_192,4
train_193,11
train_194,11
train_195,0
train_196,10
train_197,0
train_198,5
train_199,0
train_200,5
train_201,5
train_202,5
train_203,6
train_204,5
train_205,0
train_206,11
train_207,2
train_208,5
train_209,0
train_210,11
train_211,5
train_212,11
train_213,0
train_214,5
train_215,10
train_216,0
train_217,2
train_218,0
train_219,5
train_220,11
train_221,5
train_222,0
train_223,5
train_224,0
train_225,0
train_226,6
train_227,0
train_228,0
train_229,0
train_230,0
train_231,11
train_232,5
train_233,5
train_234,6
train_235,5
train_236,5
train_237,1
train_238,5
train_239,2
train_240,0
train_241,0
train_242,5
train_243,5
train_244,5
train_245,5
train_246,5
train_247,0
train_248,10
train_249,11
train_250,5
train_251,5
train_252,5
train_253,0
train_254,5
train_255,0
train_256,0
train_257,6
train_258,5
train_259,11
train_260,5
train_261,0
train_262,5
train_263,0
train_264,5
train_265,11
train_266,5
train_267,11
train_268,0
train_269,5
train_270,0
train_271,5
train_272,0
train_273,5
train_274,1
train_275,5
train_276,11
train_277,5
train_278,5
train_279,5
train_280,11
train_281,5
train_282,11
train_283,11
train_284,6
train_285,6
train_286,0
train_287,11
train_288,5
train_289,5
train_290,5
train_291,0
train_292,0
train_293,5
train_294,5
train_295,5
train_296,5
train_297,0
train_298,0
train_299,5
train_300,5
train_301,0
train_302,6
train_303,0
train_304,0
train_305,11
train_306,11
train_307,5
train_308,0
train_309,0
train_310,5
train_311,0
train_312,11
train_313,5
train_314,0
train_315,0
train_316,0
train_317,5
train_318,5
train_319,2
train_320,11
train_321,5
train_322,5
train_323,11
train_324,0
train_325,10
train_326,0
train_327,5
train_328,0
train_329,5
train_330,0
train_331,11
train_332,10
train_333,0
train_334,11
train_335,5
train_336,5
train_337,6
train_338,0
train_339,5
train_340,11
train_341,10
train_342,0
train_343,6
train_344,5
train_345,0
train_346,5
train_347,11
train_348,5
train_349,0
train_350,0
train_351,0
train_352,6
train_353,0
train_354,5
train_355,5
train_356,5
train_357,5
train_358,0
train_359,0
train_360,10
train_361,0
train_362,5
train_363,10
train_364,5
train_365,11
train_366,5
